year,tmID,coachID,playerID
11,SAS,hugheda99w,adamsda01w
11,SAS,hugheda99w,appelja01w
11,SAS,hugheda99w,beviltu01w
11,SAS,hugheda99w,hammobe01w
11,SAS,hugheda99w,hodgero01w
11,SAS,hugheda99w,perkiji01w
11,SAS,hugheda99w,phillpo01w
11,SAS,hugheda99w,rileyru01w
11,SAS,hugheda99w,robinda01w
11,SAS,hugheda99w,youngso01w
11,SEA,aglerbr99w,birdsu01w
11,SEA,aglerbr99w,cashsw01w
11,SEA,aglerbr99w,ibekwif01w
11,SEA,aglerbr99w,jacksla01w
11,SEA,aglerbr99w,kobryew01w
11,SEA,aglerbr99w,littlca01w
11,SEA,aglerbr99w,quiglal01w
11,SEA,aglerbr99w,robinas01w
11,SEA,aglerbr99w,smithka01w
11,SEA,aglerbr99w,snellbe01w
11,SEA,aglerbr99w,thomakr01w
11,SEA,aglerbr99w,willile01w
11,SEA,aglerbr99w,wrighta01w
11,TUL,edwarte01w,ayimmi01w
11,TUL,edwarte01w,camba01w
11,TUL,edwarte01w,chriska02w
11,TUL,edwarte01w,hodgedo01w
11,TUL,edwarte01w,holtam01w
11,TUL,edwarte01w,jacksti02w
11,TUL,edwarte01w,jonesma01w
11,TUL,edwarte01w,lacyje01w
11,TUL,edwarte01w,lattaiv01w
11,TUL,edwarte01w,lennobe01w
11,TUL,edwarte01w,monroja01w
11,TUL,edwarte01w,olajuab01w
11,TUL,edwarte01w,pederka01w
11,TUL,edwarte01w,reedch01w
11,TUL,edwarte01w,rileyan01w
11,TUL,edwarte01w,swoopsh01w
11,TUL,richano99w,ayimmi01w
11,TUL,richano99w,camba01w
11,TUL,richano99w,chriska02w
11,TUL,richano99w,hodgedo01w
11,TUL,richano99w,holtam01w
11,TUL,richano99w,jacksti02w
11,TUL,richano99w,jonesma01w
11,TUL,richano99w,lacyje01w
11,TUL,richano99w,lattaiv01w
11,TUL,richano99w,lennobe01w
11,TUL,richano99w,monroja01w
11,TUL,richano99w,olajuab01w
11,TUL,richano99w,pederka01w
11,TUL,richano99w,reedch01w
11,TUL,richano99w,rileyan01w
11,TUL,richano99w,swoopsh01w
11,WAS,laceytr99w,ajavoma01w
11,WAS,laceytr99w,anosini01w
11,WAS,laceytr99w,cheekjo01w
11,WAS,laceytr99w,chriska02w
11,WAS,laceytr99w,colemma01w
11,WAS,laceytr99w,currimo01w
11,WAS,laceytr99w,dunlavi01w
11,WAS,laceytr99w,gardike01w
11,WAS,laceytr99w,langhcr01w
11,WAS,laceytr99w,milleke01w
11,WAS,laceytr99w,phillta02w
11,WAS,laceytr99w,thomaja01w
11,WAS,laceytr99w,walkede01w
